student_pid, group_id
A53228642,7
A53202177,9
A53210397,11
A53215013,3
A53216516,13
A53212052,19
A53216518,23
A53201095,15
A53217617,20
A98099513,1
A53208651,25
A53200443,27
A08001117,20
A53211421,10
A53213937,26
A53070548,15
A98005611,18
A53089745,30
A53203175,1
A53220876,4
A53218602,12
A53210491,11
A53223244,4
A53220664,30
A53221859,22
A53204220,29
A53203195,19
A53203446,24
A53220055,19
A53210709,3
A53212517,12
A91066094,12
A53216658,6
A53203965,28
A53203966,9
A53209370,23
A53213354,10
A53207015,9
A53091182,6
A53203181,25
A53214078,2
A53220021,9
A53219777,8
A53225989,21
A53222305,5
A53211801,14
A53220043,5
A53211863,2
A99048469,26
A53204772,22
A53222854,3
A53222917,4
A53223155,29
A53091724,16
A53204571,25
A53207865,30
A09141151,13
A53217553,3
A53214162,26
A53091001,4
A53209671,28
A53227982,14
A53219500,13
A53058446,12
A53206643,29
A53207678,28
A53201624,5
A53211917,3
A53213478,10
A53088770,14
A53097956,28
A53213477,25
A53220135,6
A53214192,28
A53220223,2
A10660264,14
A53207007,2
A53204705,25
A98022702,10
A53096247,17
A53215182,17
A08937970,11
A53210041,7
A53209213,5
A53210761,5
A00127853,29
A53080809,14
A53214465,7
A53228576,20
A09739609,22
A53212795,6
A53215552,4
A53202335,1
A53205623,17
A53227801,3
A53070477,21
A53203033,21
A53216604,23
A53213872,8
A53229113,27
A53104529,16
A53218121,10
A53207045,13
A53228341,19
A53205019,22
A13291871,14
A53219632,20
A53228503,15
A11302948,7
A53208883,16
A53220640,29
A53214804,8
A53214122,18
A53220159,15
A53202646,18
A53204408,7
A53205204,8
A10743411,11
A53227688,6
A53205632,21
A53211051,18
A53205530,24
A53048780,29
A53214137,24
A53212389,23
A53212862,16
A53209077,27
A53216991,10
A10566076,28
A53219148,19
A53201515,15
A53228518,27
A53203634,20
A53213120,23
A53205212,23
A53227458,18
A53219498,16
A53225380,8
A53211044,1
A07061018,18
A53228136,26
A53206209,24
A53228033,6
A53213406,26
A53105993,30
A53211334,2
A53060769,17
A53214514,22
A53204900,7
A53228931,8
A53219654,16
A53228338,13
A53214922,2
A53200821,30
A53218665,9
A53229039,22
A53221873,26
A53229091,13
A53206591,17
A53211130,5
A53201459,12
A53090836,12
A53224865,27
A53221997,21
A53221613,11
A53218476,9
A53212800,15
A50054801,25
A53212966,11
A53226915,27
A53206319,1
A09240216,20
A53217445,19
A53227602,24
A53215124,17
A53212334,21
A53206917,1
A53219165,4
A53204236,24
